work_id,title,publish_year
3075617829278109799,Divergent,1991
10355363295157669101,Catching Fire,2016
8687718031034955845,The Fault in Our Stars,2005
2316906471779902875,To Kill a Mockingbird,1964
9897324595188636602,The Lightning Thief,1991
142441823712217803,Harry Potter and the Prisoner of Azkaban,2019
13295498144469556034,The Book Thief,1979
17812840730093921132,The Hobbit,2021
9091893278709142118,Insurgent,1972
6703897450006631806,Harry Potter and the Chamber of Secrets,2016
5142000243198781696,Pride and Prejudice,1985
16852539430127081999,Harry Potter and the Half-Blood Prince,1958
4126603727997558707,The Diary of a Young Girl,1954
17814656032355169295,A Story of Yesterday,1964
10457392964199946527,The Selection,1962
6179687038495364248,Jane Eyre,1975
17042501600140911138,City of Ashes,1971
13057743818069567073,City of Glass,1987
3269564799510098114,Lord of the Flies,1992
13550470980460399019,Wuthering Heights,2018
13413482985132304124,If I Stay,1968
7894590009004380759,The Titan's Curse,1950
5658289840523723511,One Flew Over the Cuckoo's Nest,1989
5590348587674200567,The Sea of Monsters,1967
6746436713619259293,Shatter Me,2017
15777952134886850047,The Catcher in the Rye,2010
8505279001908901859,The Son of Neptune,1960
7116563174733514598,Dear Barack: The Extraordinary Partnership of Barack Obama and Angela Merkel,1981
6697930480301088996,Skagboys,1975
1960057899367565089,Romeo and Juliet,1956
10487588727620239236,The Road,2008
5413266826271195007,Cinder,1979
13796169749857784439,Obsidian,1985
10613382108365996724,A Walk to Remember,1975
5658555476790680594,Rebecca,1969
13347105276487762607,Harry Potter Series Box Set,1951
3175999141248338382,The Mosquito Bowl: A Game of Life and Death in World War II,1954
171975248449834654,The Last Song,2017
17676723800039109798,Clockwork Princess,1984
18263531705920882756,The Red Pyramid,1951
8032089667439238151,Perfume: The Story of a Murderer,1980
11070798057149266891,The Throne of Fire,2013
17032713190046093920,Red Queen,2019
3319061486256883508,A Tale of Two Cities,1984
5510757719532499253,It Ends with Us,2017
5886940671086898771,Point of Retreat,1953
13055918232634784337,Partials,1950
9219948912945547588,A Christmas Carol,2011
281969457935587139,Journey to the West: A Long March from Eastern Dream to Western Reality,1972
14920826100382633909,11/22/63,2009
4593670529655113755,Smart Brevity: The Power of Saying More with Less,1984
13632888994864660088,Ulysses,2004
12754585524001136679,Empire of Pain: The Secret History of the Sackler Dynasty,1995
4510965104667982067,Artemis Fowl,1954
15977469840128865789,Born a Crime: Stories From a South African Childhood,2004
6866530978714297835,To Hell and Back,1997
11309265369346049298,Madam Speaker: Nancy Pelosi and the Lessons of Power,2023
12157074728706109168,The Moment of Lift: How Empowering Women Changes the World,2024
4259708345780167496,The Odyssey,2011
16899385397831719296,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",2008
10340659441262134895,Fangirl,1976
3662341382424633878,Big Little Lies,1966
6942992901190027236,You Will Know Me,1984
10648885084103055438,The Devil Wears Prada,1956
8954643873594499459,One for the Money,1955
3436327080335919643,The Fall,2023
12145937067806808901,A Shepherd Looks at Psalm 23,1977
960230093630989554,The Iron Knight,2006
8670856511089208783,Ethereal Fury,1988
13908398966362857694,We Were Liars,2024
8828539939670284641,Facing the Mountain: A True Story of Japanese American Heroes in World War II,1994
4356058546433512490,The Other Boleyn Girl,2009
13170797243694076334,A Gracious Enemy,2009
3962466165719601648,A Promised Land,1960
17666232868611876251,My Life,2003
14819235428537651538,Man's Search for Meaning,1959
2887463973602950290,Becoming Free Indeed: My Story of Disentangling Faith from Fear,1972
5281458546843177793,The Book of Lost Names,1966
9919098633446691976,A Gracious Enemy & After the War Volume One,1981
7322834083229672646,The Serpent's Shadow,1997
9644790995359703527,Aristotle and Dante Discover the Secrets of the Universe,2025
12941649921873718615,Scavenger Hunt,2003
15900741015629401905,Shutter Island,1952
6314438264310455868,The New York Trilogy,2008
13014015071538848595,Eragon,1980
15394968557509578532,Diary,1980
14802461050581389965,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",1974
2280886115036134756,"Jesus Listens: Daily Devotional Prayers of Peace, Joy, and Hope",1976
8558406691395216362,The Asset,1996
13226798238009899676,The Godfather,2018
10845135255807496019,Outliers: The Story of Success,1984
3722122527322539966,The Complete Sherlock Holmes,1957
13019957551284052563,Room,2012
3983099012665266389,My Name Is Rapunzel,1965
15132727888829879865,Bully,1999
2566194298630871064,If it Weren't for You,1974
4599049003551424337,One Hundred Years of Solitude,1951
11334837240524746605,Never Get Angry Again: The Foolproof Way to Stay Calm and in Control in Any Conversation or Situation,2011
6912494132644716060,Secret Slave: Kidnapped and abused for 13 years. This is my story of survival.,1967
8518229405551301179,Killing Yourself to Live: 85% of a True Story,1985
733314213205610071,The Room,1991
12934022014477118781,A Court of Thorns and Roses,2014
16641741503861380230,"Penis Politics: A Memoir of Women, Men and Power",1966
7722912356002189381,The Spy Who Came In from the Cold,2019
1336490544948699785,Club Dead,2006
975260518737544805,On Writing: A Memoir of the Craft,1971
9123291538184002274,Segment of One,2022
14636157986473075747,After You,1973
18070913501230194817,Just Mercy: A Story of Justice and Redemption,1998
16372743184220482696,Queen of Shadows,1958
8514423044384164853,Child of Another Kind,2021
10452140279854401974,Uncovering Love,1960
14633014345223361859,Loki's Price,1964
9114930820526465662,Somewhere Upriver,2011
16957089150155836322,Not Okay,1984
3661789974503015529,Inferno,1969
3642261716340869095,Nutshell,2002
1034169934293810101,Wild Hearted,1956
