user_id,work_id,rating_value,rated_at
1187,10929546863736227487,3,2023-08-23 05:50:57
1343,14775879532742991842,2,2023-10-04 01:52:34
25,5815423582504298888,2,2025-07-18 09:53:17
727,4537191425724333510,0,2023-06-27 22:49:06
1298,15172848979402185113,0,2025-03-17 22:21:36
1334,1956893251485126354,3,2023-10-15 04:50:56
753,11932688116407012094,4,2024-06-30 15:55:24
1121,14673838518828680582,8,2024-01-10 15:22:45
972,16636825115821675097,9,2024-05-02 11:24:26
1311,13706287960855926076,9,2024-04-15 21:48:50
782,2606493239448160918,8,2023-09-17 18:56:13
888,8991836453831306862,6,2024-09-06 05:54:10
1320,13177168799051993013,2,2025-05-07 11:39:27
1025,10759850639627321397,1,2025-01-18 20:08:01
992,15961596223906731413,6,2025-08-05 19:34:43
999,3500708594220135645,2,2023-12-04 17:23:01
1287,5657605525724902222,8,2024-09-01 18:37:29
900,15171497817354039012,5,2023-03-22 06:08:36
933,15314101799236586084,10,2024-12-24 07:16:58
1129,5176482699706151425,9,2024-08-18 01:48:10
329,14061878085583291655,10,2025-01-21 07:51:25
775,3844365855656285339,6,2024-12-23 00:37:11
111,5185809464251842894,3,2024-07-11 14:01:10
954,1210496771550047261,3,2024-11-03 02:04:15
1,11176767375537811285,3,2023-07-10 20:50:05
444,13592008034214608739,8,2023-10-21 10:12:16
565,4758760018832850563,1,2023-06-01 10:53:23
1043,10929546863736227487,7,2023-08-07 18:13:13
660,13518856950062106275,10,2024-12-27 03:19:42
186,11611513572174689078,7,2023-12-01 20:47:06
877,17354798635354425305,4,2024-04-22 16:44:49
173,4926906591554532922,2,2024-08-09 16:02:57
415,8017884578406224245,5,2023-07-25 13:04:11
1216,2109571224133690873,10,2023-11-19 07:15:05
807,16772695395080815852,0,2025-01-07 12:55:44
447,3830122251965238562,10,2024-06-08 05:13:06
165,18340346929243769990,3,2025-03-21 03:22:00
822,12561670658873536320,0,2024-08-09 19:15:29
60,1656687164836757008,5,2025-05-09 01:03:01
186,15582524414535929188,6,2023-07-29 05:44:32
152,2985958645675777246,6,2023-10-06 15:57:18
343,11905602203079719826,0,2023-02-12 23:33:46
1408,12961691646860240381,7,2025-02-08 06:23:12
1458,13874243263981740679,8,2025-10-11 12:11:12
395,1956390987222727440,8,2024-09-14 16:17:32
1234,8584204221432608310,5,2025-02-25 11:36:12
1240,9049347711142267573,3,2024-06-02 03:13:00
599,11596751522667901693,2,2023-04-24 12:27:23
1394,1920857594365961393,9,2023-07-15 23:37:53
785,283764345879567271,9,2024-11-15 05:30:26
1467,17408793653281479050,2,2025-05-24 18:00:54
252,9428184630272459140,1,2023-10-07 16:03:59
631,12251603821536109544,1,2023-07-30 14:35:30
1261,1697859053664263655,3,2024-10-07 08:15:12
737,7735369513296145227,7,2024-07-30 15:06:21
685,318160576377572899,4,2023-11-22 10:01:51
1421,6176607037619679994,8,2025-01-09 18:26:12
683,154101397666236430,5,2023-11-02 19:54:18
968,7432349632695558293,7,2023-06-25 13:15:36
800,16540989207330025279,7,2025-02-15 07:52:49
79,10990973459423071116,10,2024-03-14 23:05:16
270,7760080846257801598,2,2025-04-26 05:53:42
199,15505475024587415211,5,2024-02-12 15:02:25
1072,2398334160028559979,9,2023-06-28 08:10:29
727,10674050756627925531,3,2025-08-17 15:25:31
1250,1324401082525577007,5,2023-02-04 22:04:05
342,12273916803728069201,2,2023-08-08 01:14:08
35,16507005675776172895,4,2025-01-25 02:02:19
1355,15744435325584109895,10,2023-11-22 05:14:27
790,12356466879193935315,1,2024-01-26 08:38:47
1399,2037151890907395618,6,2025-04-21 00:17:28
80,11257260107446160500,7,2023-10-15 12:29:03
548,6597222980402480681,5,2023-07-16 01:51:34
771,292160652209878608,4,2025-03-02 10:24:04
